SIS User ID,Section,Pre-Test (4004984),Introductions (4004993),Getting Started Quiz (4004977),Journal 1 (4005014),Journal 2 (4005018),Journal 3 (4005019),Journal 4 (4005020),Journal 5 (4005021),Journal 6 (4005022),Journal 7 (4005023),Journal 8 (4005024),Journal 9 (4005025),Journal 10 (4005015),Journal 11 (4005016),Journal 12 (4005017),Quiz 01 Java (4004983),Quiz 02 Variables (4004981),Quiz 03 Classes / Operators / Arithmetic (4004980),Quiz 04 Decisions (4004973),Quiz 05 Methods (4004988),Quiz 06 Loops (4004978),Quiz 07 Exceptions (4004985),Quiz 08 OOP (4004974),Quiz 09 Arrays (4004990),Quiz 10 Data Structures / Collections / Strings (4004987),Quiz 11 2d Arrays / Generics (4004989),Quiz 12 OOP2 (4004975),Quiz Avg,Exercises Variables (4005004),Exercises Operators & Arithmetic / Basics (4005002),Exercises Flow Control / If and Switch (4004997),Exercises Methods (4005000),Exercises Loops (4004999),Exercises Exception Handling (4004996),Exercises Classes (4004995),Exercises Arrays & Collections / Arrays (4004994),Exercises Miscellaneous / Generics (4005001),Exercises Inheritance & Polymorphism / Abstract Class and Inheritance (4004998),Exercises Strings (4005003),Integration Project PSI 1 Inspection (4005011),Innovation Project PSI 1 Inspection (4005006),Integration Project PSI 2 Inspection (4005012),Innovation Project PSI 2 Inspection (4005007),Integration Project PSI 3 Inspection (4005013),Innovation Project Final (4005005),Integration Project Final  (4005010),Team Score (4005027),Portfolio Update (4005026),Extra Credit (4004992),Post-Test (4004979),Final Exam  (4004982),Getting Started Current Score,Getting Started Unposted Current Score,Getting Started Final Score,Getting Started Unposted Final Score,Journals Current Score,Journals Unposted Current Score,Journals Final Score,Journals Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Exercises Current Score,Exercises Unposted Current Score,Exercises Final Score,Exercises Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Teamwork Current Score,Teamwork Unposted Current Score,Teamwork Final Score,Teamwork Unposted Final Score,Portfolio Current Score,Portfolio Unposted Current Score,Portfolio Final Score,Portfolio Unposted Final Score,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
STU815016133,201601-11838-1,36,42,6,10,6,10,2,10,6,6,,8,8,6,,10,8,9,9,10,6,10,9,9,8,9,7,84.55284553,3,6,3,,,,,6,,,,100,,,,98,,64,85,95,,26,91,89.36,89.36,89.36,89.36,72,72,60,60,88.35,88.35,88.35,88.35,100,100,42.86,42.86,87.33,87.33,37.43,37.43,85,85,85,85,95,95,95,95,,,0,0,86.03,86.03,86.03,86.03,89.95,89.95,59.18,59.18
STU815046712,201601-11838-1,36,28,7,8,10,8,0,8,8,3,,9,9,8,7,10,9,0,0,9,5,7,7,7,7,7,7,60.97560976,3,6,3,3,3,2,3,6,2,6,3,70,100,70,100,72,95,73,72,65,,28,59,75.53,75.53,75.53,75.53,70.91,70.91,65,65,78.75,78.75,74.26,74.26,95.24,95.24,95.24,95.24,82.86,82.86,82.86,82.86,72,72,72,72,65,65,65,65,,,0,0,63.97,63.97,63.97,63.97,82.57,82.57,80.96,80.96
STU814942175,201601-11838-1,36,50,8,10,10,10,10,10,8,10,10,10,10,10,10,9,10,7,12,9,8,8,10,9,7,7,8,84.55284553,3,6,3,3,3,3,3,6,3,6,3,100,100,90,100,70,100,51,81,75,,29,95,100,100,100,100,98.33,98.33,98.33,98.33,87.38,87.38,87.38,87.38,100,100,100,100,87.29,87.29,87.29,87.29,81,81,81,81,75,75,75,75,,,0,0,91.18,91.18,91.18,91.18,93.11,93.11,93.11,93.11
STU815006164,201601-11838-1,36,46,7,10,10,8,8,9,10,8,4,10,10,,10,8,10,4,9,8.67,4,8,6,11,5,5,4,67.21138211,3,6,3,3,3,3,3,6,3,6,3,55,100,50,,14,,0,100,85,,23,54,94.68,94.68,94.68,94.68,88.18,88.18,80.83,80.83,72.49,72.49,72.49,72.49,100,100,100,100,43.8,43.8,31.29,31.29,100,100,100,100,85,85,85,85,,,0,0,56.62,56.62,56.62,56.62,77.78,77.78,74.27,74.27
STU815082763,201601-11838-1,36,50,8,8,10,10,10,10,10,7,8,9,8,10,8,7,10,9,11,10,6,8,9,9,6,9,5,80.48780488,3,6,3,3,3,3,3,6,3,6,3,100,100,85,100,100,100,93,72,100,,31,99,100,100,100,100,90,90,90,90,85.44,85.44,85.44,85.44,100,100,100,100,96.86,96.86,96.86,96.86,72,72,72,72,100,100,100,100,,,0,0,95.59,95.59,95.59,95.59,94.36,94.36,94.36,94.36
STU815131624,201601-11838-1,36,43,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,7,9,9,9,9,10,7,88.61788618,3,6,3,3,3,3,3,6,3,6,3,100,100,90,100,93,100,93,70,100,,31,97,92.55,92.55,92.55,92.55,100,100,100,100,92.23,92.23,92.23,92.23,100,100,100,100,96.57,96.57,96.57,96.57,70,70,70,70,100,100,100,100,,,0,0,94.12,94.12,94.12,94.12,96.49,96.49,96.49,96.49
STU815066937,201601-11838-1,36,50,8,8,8,4,8,8,8,1,4,4,6,6,,7,9,4,9,6.67,10,10,6,7,4,0,0,59.08130081,3,6,3,3,3,3,3,6,3,6,3,100,100,85,90,88,50,20,67,80,,,,100,100,100,100,59.09,59.09,54.17,54.17,77.91,77.91,70.55,70.55,100,100,100,100,76.14,76.14,76.14,76.14,67,67,67,67,80,80,80,80,,,0,0,,,0,0,83.44,83.44,75.54,75.54
STU815017404,201601-11838-1,36,48,8,8,10,10,6,8,10,6,10,8,6,8,4,8,8,8,0,0,7,5,0,6,6,5,0,43.08943089,3,6,3,2,3,2,3,6,2,6,3,90,100,90,100,47,90,18,71,,,25,27,97.87,97.87,97.87,97.87,78.33,78.33,78.33,78.33,70.49,70.49,52.48,52.48,92.86,92.86,92.86,92.86,76.43,76.43,76.43,76.43,71,71,71,71,,,0,0,,,0,0,38.24,38.24,38.24,38.24,78.8,78.8,73.62,73.62
STU814764655,201601-11838-1,36,48,8,,,,,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,4.87804878,,,,,,,,,,,,,,,,,,,,,,,,97.87,97.87,97.87,97.87,,,0,0,60,60,6,6,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,64.94,64.94,4.14,4.14
STU815041677,201601-11838-1,36,50,8,10,10,10,8,10,9,5,10,8,7,10,9,9,6,7,8,5.67,7,4,3,4,6,4,6,56.64227642,3,6,3,3,3,3,3,6,3,6,3,100,100,90,100,67,50,28,78,85,150,20,22,100,100,100,100,88.33,88.33,88.33,88.33,61.44,61.44,61.44,61.44,100,100,100,100,76.43,76.43,76.43,76.43,78,78,78,78,85,85,85,85,50,50,50,50,30.88,30.88,30.88,30.88,81.86,81.86,81.86,81.86
STU815056670,201601-11838-1,36,50,7,8,10,4,10,8,10,8,10,8,8,,,9,7,8,10,8,6,8,8,7,6,6,7,73.17073171,3,6,3,3,3,3,3,6,3,6,3,95,100,100,100,75,100,30,76,85,,21,77,98.94,98.94,98.94,98.94,84,84,70,70,75.73,75.73,75.73,75.73,100,100,100,100,85.71,85.71,85.71,85.71,76,76,76,76,85,85,85,85,,,0,0,72.06,72.06,72.06,72.06,87.46,87.46,85.78,85.78
STU815019564,201601-11838-1,36,50,6,10,10,10,10,8,10,10,10,8,6,8,6,9,9,9,8,9,6,9,5,9,2,9,6,73.17073171,3,6,3,3,3,,2,6,2,3,3,92,100,100,100,84,90,63,96,70,,30,68,97.87,97.87,97.87,97.87,88.33,88.33,88.33,88.33,80.58,80.58,80.58,80.58,87.18,87.18,80.95,80.95,89.86,89.86,89.86,89.86,96,96,96,96,70,70,70,70,,,0,0,72.06,72.06,72.06,72.06,85.66,85.66,83.6,83.6
STU815047128,201601-11838-1,36,43,8,8,8,8,9,8,6,4,5,,,,,7,6,8,11,8,7,9,6,6,4,7,6,69.10569106,3,6,3,3,3,3,3,6,3,6,3,100,100,80,90,39,,,82,,,31,95,92.55,92.55,92.55,92.55,70,70,46.67,46.67,73.53,73.53,73.53,73.53,100,100,100,100,81.8,81.8,58.43,58.43,82,82,82,82,,,0,0,,,0,0,92.65,92.65,92.65,92.65,85.9,85.9,76.48,76.48
STU814723713,201601-11838-1,36,50,8,10,10,10,8,9,9,10,10,10,10,10,10,8,10,7,11,5.67,8,10,7,11,9,8,9,84.28455285,3,6,3,3,3,3,3,6,3,6,3,100,100,70,100,100,100,81,100,90,,29,64,100,100,100,100,96.67,96.67,96.67,96.67,88.35,88.35,88.35,88.35,100,100,100,100,93,93,93,93,100,100,100,100,90,90,90,90,,,0,0,68.38,68.38,68.38,68.38,93.39,93.39,93.39,93.39
STU815006586,201601-11838-1,36,50,6,10,10,10,10,10,10,10,6,10,6,10,8,8,8,4,10,8.67,3,8,5,10,4,9,5,67.21138211,3,6,3,3,3,3,3,6,3,6,3,84,100,85,100,75,100,76,100,95,,20,5,97.87,97.87,97.87,97.87,91.67,91.67,91.67,91.67,73.46,73.46,73.46,73.46,100,100,100,100,88.57,88.57,88.57,88.57,100,100,100,100,95,95,95,95,,,0,0,18.38,18.38,18.38,18.38,85.42,85.42,85.42,85.42
STU814947398,201601-11838-1,36,50,8,10,10,10,7,9,10,10,8,10,10,8,8,9,9,6,0,6.33,0,0,6,9,3,,5,47.29933481,3,6,3,3,3,3,3,6,3,6,3,32,100,100,100,49,100,,78,100,,25,45,100,100,100,100,91.67,91.67,91.67,91.67,74.32,74.32,52.81,52.81,100,100,100,100,80.17,80.17,68.71,68.71,78,78,78,78,100,100,100,100,,,0,0,51.47,51.47,51.47,51.47,85.86,85.86,79.15,79.15
STU815042557,201601-11838-1,36,50,8,10,8,10,8,8,8,,,,,,,10,9,6,0,8.67,4,0,0,0,0,0,0,30.62601626,3,6,3,3,3,,,,,,,100,,,,,,,,,,,,100,100,100,100,86.67,86.67,43.33,43.33,92.22,92.22,37.67,37.67,100,100,42.86,42.86,100,100,14.29,14.29,,,0,0,,,0,0,,,0,0,,,0,0,96.45,96.45,32.88,32.88
