SIS User ID,Section,Pre-Test (4417891),Getting Started Quiz (4417890),Introductions (4417895),Journal 1 (4417916),Journal 2 (4417921),Journal 3 (4417922),Journal 4 (4417923),Journal 5 (4417924),Journal 6 (4417925),Journal 7 (4417926),Journal 8 (4417927),Journal 9 (4417928),Journal 10 (4417917),Journal 11 (4417918),Journal 12 (4417919),Journal 13 (4417920),Quiz 01 Java (4417888),Quiz 02 Variables (4417882),Quiz 03 Operators (4417883),Quiz 04 Decisions (4417893),Quiz 05 Methods (4417879),Quiz 06 Loops (4417894),Quiz 07 Arrays (4417881),"Quiz 08 Collections, Interfaces, Recursion, Maps, Big O (4417892)",Quiz 09 Number Systems and Strings  (4417885),Quiz 10 2d Arrays / Generics (4417887),Quiz 11 OOP (4417889),Quiz 12 Exceptions (4417880),Quiz 13 Data Structures / Collections (4417878),Quiz Avg,Exercises 1 (4417896),Exercises 2 (4417901),Exercises 3 (4417902),Exercises 4 (4417903),Exercises 5 (4417904),Exercises 6 (4417905),Exercises 7 (4417906),Exercises 8 (4417907),Exercises 9 (4417908),Exercises 10 (4417897),Exercises 11 (4417898),Exercises 12 (4417899),Exercises 13 (4417900),Integration Project PSI 1 Inspection (4417913),Innovation Project PSI 1 Inspection (4417910),Integration Project PSI 2 Inspection (4417914),Innovation Project PSI 2 Inspection (4417911),Integration Project PSI 3 Inspection (4417915),Innovation Project Final (4417909),Integration Project Final  (4417912),Portfolio Update (4417929),Team Score (4417931),SPoI (4417930),Post-Test (4417884),Final Exam  (4417886),Getting Started Current Score,Getting Started Unposted Current Score,Getting Started Final Score,Getting Started Unposted Final Score,Journals Current Score,Journals Unposted Current Score,Journals Final Score,Journals Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Exercises Current Score,Exercises Unposted Current Score,Exercises Final Score,Exercises Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Wrap Up Current Score,Wrap Up Unposted Current Score,Wrap Up Final Score,Wrap Up Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
STU815084239,201701-10422-1,36,8,50,6,6,8,7,6,6,10,8,10,6,10,8,8,8,7,8,7,5,6,10,8,9,9,7,10,10,80,10,10,10,10,10,10,8,0,0,0,7,10,10,100,0,63,0,44,95,91,90,0,50,26,80,100,100,100,100,76.15,76.15,76.15,76.15,84.55,84.55,84.55,84.55,73.08,73.08,73.08,73.08,56.14,56.14,56.14,56.14,70,70,70,70,77.94,77.94,77.94,77.94,73.52,73.52,73.52,73.52
STU814846730,201701-10422-1,36,7,50,10,10,10,10,9.4,10,10,10,10,10,10,10,10,10,10,7,8,7,7,6,8,9,9,8,10,7,81.53846154,10,10,10,5,10,10,10,10,10,10,10,10,10,95,100,100,100,95,100,98,100,38,50,27,78,98.94,98.94,98.94,98.94,99.54,99.54,99.54,99.54,84.55,84.55,84.55,84.55,96.15,96.15,96.15,96.15,98.29,98.29,98.29,98.29,94,94,94,94,77.21,77.21,77.21,77.21,93.22,93.22,93.22,93.22
STU815092842,201701-10422-1,36,8,43,8,10,10,10,9.4,10,10,10,10,10,10,10,10,9,9,9,10,9,7,9,7,7,8,9,10,8,85.38461538,10,10,10,7.5,10,10,10,10,10,10,10,10,10,100,100,88,100,95,100,96,100,28,50,29,95,92.55,92.55,92.55,92.55,98,98,98,98,88.18,88.18,88.18,88.18,98.08,98.08,98.08,98.08,97,97,97,97,89,89,89,89,91.18,91.18,91.18,91.18,94.97,94.97,94.97,94.97
STU814647350,201701-10422-1,36,8,50,10,10,10,10,9.4,10,10,10,8,10,10,10,10,9,10,9,9,10,7,10,10,10,9,8,9,8,90.76923077,10,10,10,10,10,10,10,10,10,8,10,10,10,100,100,95,100,95,95,100,100,46,50,31,88,100,100,100,100,98,98,98,98,93.64,93.64,93.64,93.64,98.46,98.46,98.46,98.46,97.86,97.86,97.86,97.86,98,98,98,98,87.5,87.5,87.5,87.5,96.48,96.48,96.48,96.48
STU815174495,201701-10422-1,36,7,50,10,10,10,10,9.4,10,10,10,10,10,10,10,10,8,10,7,8,6,5,8,8,9,3,7,7,4,69.23076923,10,5,10,10,10,10,10,0,10,10,10,10,10,92,100,88,100,0,100,84,80,50,50,28,81,98.94,98.94,98.94,98.94,99.54,99.54,99.54,99.54,75.45,75.45,75.45,75.45,88.46,88.46,88.46,88.46,80.57,80.57,80.57,80.57,90,90,90,90,80.15,80.15,80.15,80.15,85.4,85.4,85.4,85.4
STU815165599,201701-10422-1,36,8,50,8,10,10,8,9.4,8,10,10,10,10,10,10,10,5,10,8,10,8,9,10,8,9,0,10,9,6,78.46153846,10,10,10,10,10,10,10,10,10,10,10,10,10,100,100,100,100,95,100,82,100,38,50,28,98,100,100,100,100,94.92,94.92,94.92,94.92,88.18,88.18,88.18,88.18,100,100,100,100,96.71,96.71,96.71,96.71,94,94,94,94,92.65,92.65,92.65,92.65,95.61,95.61,95.61,95.61
STU815142333,201701-10422-1,36,8,50,10,10,10,10,6,10,10,10,10,10,10,8,10,9,9,8,10,8,9,8,9,8,7,9,10,0,80,10,10,10,5,10,10,10,10,10,10,10,10,10,100,100,100,100,89,99,76,100,46,50,30,80,100,100,100,100,95.38,95.38,95.38,95.38,88.18,88.18,88.18,88.18,96.15,96.15,96.15,96.15,94.86,94.86,94.86,94.86,98,98,98,98,80.88,80.88,80.88,80.88,93.13,93.13,93.13,93.13
STU815167501,201701-10422-1,36,8,42,8,8,10,6,0,0,0,0,0,0,0,0,0,9,10,9,6,9,9,7,7,6,10,7,9,5,79.23076923,10,10,10,10,10,10,10,10,10,10,10,10,10,95,100,90,100,79,100,88,100,38,50,29,74,91.49,91.49,91.49,91.49,24.62,24.62,24.62,24.62,83.64,83.64,83.64,83.64,100,100,100,100,93.14,93.14,93.14,93.14,94,94,94,94,75.74,75.74,75.74,75.74,83.24,83.24,83.24,83.24
STU815102073,201701-10422-1,36,8,50,10,10,10,10,10,10,8,10,10,10,10,10,10,9,9,6,7,9,8,8,7,7,8,8,3,6,73.07692308,10,10,10,10,10,10,10,10,10,10,10,10,10,100,100,95,100,72,100,50,100,31,50,27,20,100,100,100,100,98.46,98.46,98.46,98.46,78.18,78.18,78.18,78.18,100,100,100,100,88.14,88.14,88.14,88.14,90.5,90.5,90.5,90.5,34.56,34.56,34.56,34.56,87.64,87.64,87.64,87.64
STU815078328,201701-10422-1,36,8,50,10,10,10,10,9.4,10,10,10,10,10,10,10,10,10,9,6,4,4,8,10,7,9,7,5,8,7,72.30769231,10,10,10,10,3.3,10,10,10,10,10,10,10,10,87,100,85,100,71,95,88,100,35,50,26,53,100,100,100,100,99.54,99.54,99.54,99.54,78.18,78.18,78.18,78.18,94.85,94.85,94.85,94.85,89.43,89.43,89.43,89.43,92.5,92.5,92.5,92.5,58.09,58.09,58.09,58.09,88.21,88.21,88.21,88.21
STU815089712,201701-10422-1,36,8,50,8,0,10,10,8,10,8,10,8,10,10,8,0,8,8,6,6,5,4,4,3,6,7,6,10,1,56.92307692,10,5,7,5,10,5,4,10,10,6.7,10,10,10,100,100,80,100,61,95,30,0,6,0,25,22,100,100,100,100,76.92,76.92,76.92,76.92,63.64,63.64,63.64,63.64,79,79,79,79,80.86,80.86,80.86,80.86,3,3,3,3,34.56,34.56,34.56,34.56,71.58,71.58,71.58,71.58
