Course,Historical DFW,DFW Cate,Course Name,Term,"LA (Yes=1, No=0)",LA,CRN,Avg. DF RATE ,Avg. DFW RATE,Avg. W RATE ,Students,DF Number,W Number,DFW_Diff
CHM1045 ,0.37,High,General Chemistry I,Fall 2017,1,Yes,81406,0.11,0.28,0.17,89,10,15,-0.0905
CHM1045 ,0.37,High,General Chemistry I,Fall 2017,0,No,81407,0.24,0.39,0.15,95,23,14,
CHM1045 ,0.37,High,General Chemistry I,Fall 2017,0,No,81408,0.21,0.38,0.17,94,20,16,
CHM1045 ,0.37,High,General Chemistry I,Fall 2017,0,No,82651,0.2,0.33,0.14,87,17,12,
CHM1045 ,0.37,High,General Chemistry I,Fall 2017,0,No,82733,0.18,0.47,0.29,85,15,25,
CHM1045 ,0.37,High,General Chemistry I,Fall 2017,1,Yes,82921,0.16,0.3,0.14,93,15,13,-0.0705
CHM1045 ,0.37,High,General Chemistry I,Spring 2018,1,Yes,10031,0.22,0.49,0.27,92,20,25,0.1195
CHM1045 ,0.37,High,General Chemistry I,Spring 2018,0,No,10032,0.17,0.34,0.18,96,16,17,
CHM1045 ,0.37,High,General Chemistry I,Spring 2018,0,No,10033,0.2,0.42,0.21,94,19,20,
CHM1045 ,0.37,High,General Chemistry I,Spring 2018,0,No,10034,0.23,0.48,0.25,94,22,23,
CHM1045 ,0.37,High,General Chemistry I,Spring 2018,0,No,10035,0.14,0.28,0.14,94,13,13,
CHM1045 ,0.37,High,General Chemistry I,Fall 2018,0,No,81403,0.22,0.38,0.16,96,21,15,
CHM1045 ,0.37,High,General Chemistry I,Fall 2018,1,Yes,81406,0.3,0.48,0.18,93,28,17,0.1095
CHM1045 ,0.37,High,General Chemistry I,Fall 2018,0,No,81407,0.25,0.37,0.12,87,22,10,
CHM1045 ,0.37,High,General Chemistry I,Fall 2018,0,No,81408,0.2,0.37,0.17,96,19,16,
CHM1045 ,0.37,High,General Chemistry I,Fall 2018,0,No,82651,0.31,0.49,0.17,86,27,15,
CHM1045 ,0.37,High,General Chemistry I,Fall 2018,0,No,82733,0.38,0.46,0.09,93,35,8,
CHM1045 ,0.37,High,General Chemistry I,Fall 2018,0,No,82921,0.17,0.32,0.15,89,15,13,
MAC2233 ,0.39,High,Elementary Calculus,Spring 2017,0,No,10244,0.19,0.54,0.35,54,10,19,
MAC2233 ,0.39,High,Elementary Calculus,Spring 2017,1,Yes,10245,0.17,0.44,0.28,54,9,15,0.156666667
MAC2233 ,0.39,High,Elementary Calculus,Spring 2017,1,Yes,10246,0.1,0.5,0.4,52,5,21,0.216666667
MAC2233 ,0.39,High,Elementary Calculus,Spring 2017,0,No,10254,0.21,0.28,0.07,57,12,4,
MAC2233 ,0.39,High,Elementary Calculus,Spring 2017,0,No,10269,0.13,0.22,0.09,54,7,5,
MAC2233 ,0.39,High,Elementary Calculus,Spring 2017,0,No,10301,0.2,0.35,0.15,54,11,8,
