SIS User ID,Section,Getting Started Quiz (4700591),Introductions (4700603),Time Management (4700657),Grit and Growth Mindset (4700601),Professor Visit (4700630),Journal 1 (4700812),Journal 2 (4700818),Journal 3 (4700817),Journal 4 (4700816),Journal 5 (4700815),Journal 6 (4700814),Journal 7 (4700625),Journal 8 (4700626),Journal 9 (4700627),Journal 10 (4700622),Journal 11 (4700623),Journal 12 (4700624),Section 2 (4700631),Section 3 Lessons 1-2 (4700633),Section 3 Lesson 3-5 (4700632),Section 4 Lessons 1-2 (4700634),Section 4 Lessons 3-5 (4700635),Section 5 (4700636),Section 6 (4700637),Section 7 Lessons 1-3 (4700638),Section 7 Lessons 4-6 (4700639),Section 8 (4700640),Section 9 (4700641),Quiz 01 Java (4700595),Quiz 02 Data Types  (4700600),Quiz 03 Strings  (4700599),Quiz 04 Methods (4700587),Quiz 5 Strings and Library Classes (4700597),Quiz 06 Conditions and Operators (4700594),Quiz 07 Loops (4700596),Quiz 08 Objects (4700593),Quiz 09 Inheritance and Polymorphism (4700590),Quiz 10 Arrays (4700592),Quiz 11 Exceptions (4700598),Quiz Avg,Exercises 1 (4700606),Exercises 2 (4700609),Exercises 3 (4700610),Exercises 4 (4700611),Exercises 5 (4700612),Exercises 7 (4700614),Exercises 8 (4700615),Exercises 9 (4700616),Exercises 10 (4700607),Exercises 11 (4700608),Ticket 01 (4700644),Ticket 02 (4700645),Ticket 03 (4700646),Ticket 05 (4700648),Ticket 06 (4700649),Ticket 07 (4700650),Ticket 08 (4700651),Ticket 09 (4700652),Ticket 10 (4700653),Ticket 11 (4700654),Ticket 12 (4700655),Ticket 13 (4700656),Integration Project PSI 1 Inspection (4700620),Integration Project PSI 2 Inspection (4700621),Integration Project PSI 3 Inspection (4700920),Integration Project Final  (4700619),Team Communication (4700643),Team Collaboration (4700602),SPoI (4700642),Portfolio Update (4700629),Midterm Exam (4700628),Final Exam (4700618),Post-Test- Requires Respondus LockDown Browser (4700589),Final Cumulative Exam (4700617),Final Exam Code (4700588),1Z0-811 (4700605),Ticket 04 (4700647),Exercises 6 (4700613),Getting Started Current Score,Getting Started Unposted Current Score,Getting Started Final Score,Getting Started Unposted Final Score,Journals Current Score,Journals Unposted Current Score,Journals Final Score,Journals Unposted Final Score,iLearning Quizzes Current Score,iLearning Quizzes Unposted Current Score,iLearning Quizzes Final Score,iLearning Quizzes Unposted Final Score,Class Quizzes Current Score,Class Quizzes Unposted Current Score,Class Quizzes Final Score,Class Quizzes Unposted Final Score,Exercises Current Score,Exercises Unposted Current Score,Exercises Final Score,Exercises Unposted Final Score,Tickets Current Score,Tickets Unposted Current Score,Tickets Final Score,Tickets Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Engagement Current Score,Engagement Unposted Current Score,Engagement Final Score,Engagement Unposted Final Score,Wrap Up Current Score,Wrap Up Unposted Current Score,Wrap Up Final Score,Wrap Up Unposted Final Score,Exams Current Score,Exams Unposted Current Score,Exams Final Score,Exams Unposted Final Score,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Uncounted Current Score,Uncounted Unposted Current Score,Uncounted Final Score,Uncounted Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
STU815210498,201901-10422-1,80,90,100,87,100,10,10,8,10,10,10,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15,9,10,7,7,10,10.25,8,10,10,10,10,91.21621622,100,100,100,100,100,85,100,100,85,100,10,10,10,10,10,10,10,10,0,10,10,10,90,100,100,175,100,90,50,100,88,100,26,94,96,,,,91.4,91.4,91.4,91.4,98.33,98.33,98.33,98.33,100,100,100,100,95.88,95.88,95.88,95.88,97,97,97,97,91.67,91.67,91.67,91.67,93,93,93,93,95,95,95,95,100,100,100,100,93.09,93.09,93.09,93.09,,,0,0,,,0,0,95.11,95.11,95.11,95.11
STU815209571,201901-10422-1,100,90,50,87,100,8,10,8,10,10,8,10,6,8,8,10,10,14,9,15,15,15,15,15,15,15,15,15,7,8,9,6,10,9,6,5,9,9,9,78.37837838,50,85,100,85,0,100,0,100,100,100,10,10,10,10,10,10,10,10,10,10,10,10,75,35,35,25,100,50,50,80,90,96,24,88,21,,,,85.4,85.4,85.4,85.4,88.33,88.33,88.33,88.33,95.76,95.76,95.76,95.76,83.52,83.52,83.52,83.52,72,72,72,72,100,100,100,100,34,34,34,34,75,75,75,75,86.67,86.67,86.67,86.67,73.5,73.5,73.5,73.5,,,0,0,,,0,0,72.53,72.53,72.53,72.53
STU815091009,201901-10422-1,100,100,100,87,100,8,10,10,10,10,10,10,10,8,10,6,6,15,15,15,15,15,15,15,14,14,14,14,10,9,9,8,7,8.75,0,5,7,8,0,64.63963964,100,100,100,100,100,70,85,0,0,0,10,10,10,10,10,10,10,0,0,10,0,0,85,55,35,105,100,90,50,100,86,88,31,78,48,,,,97.4,97.4,97.4,97.4,90,90,90,90,97.58,97.58,97.58,97.58,78.85,78.85,78.85,78.85,65.5,65.5,65.5,65.5,66.67,66.67,66.67,66.67,56,56,56,56,95,95,95,95,100,100,100,100,76.27,76.27,76.27,76.27,,,0,0,,,0,0,74.69,74.69,74.69,74.69
STU815209170,201901-10422-1,80,100,100,87,100,6,10,8,4,6,6,10,10,8,10,10,10,15,12,14,14,12,12,0,15,14,13,15,9,10,5,7,8,6,8,9,7,10,10,80.18018018,100,100,95,50,0,85,100,100,95,100,10,10,10,10,10,10,10,10,10,10,10,10,75,75,70,120,0,0,50,100,90,92,23,86,68,,,,93.4,93.4,93.4,93.4,81.67,81.67,81.67,81.67,82.42,82.42,82.42,82.42,86.67,86.67,86.67,86.67,82.5,82.5,82.5,82.5,100,100,100,100,68,68,68,68,0,0,0,0,100,100,100,100,82.72,82.72,82.72,82.72,,,0,0,,,0,0,79.3,79.3,79.3,79.3
STU815183348,201901-10422-1,100,100,100,87,100,10,10,8,10,10,10,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,14,14,9,10,10,8,10,11,7,10,8,10,9,91.89189189,100,100,100,100,100,100,100,100,100,100,10,10,10,10,10,10,10,0,10,10,10,10,100,100,100,195,100,90,50,100,98,96,32,86,94,,,,97.4,97.4,97.4,97.4,98.33,98.33,98.33,98.33,98.79,98.79,98.79,98.79,95.6,95.6,95.6,95.6,100,100,100,100,91.67,91.67,91.67,91.67,99,99,99,99,95,95,95,95,100,100,100,100,93.55,93.55,93.55,93.55,,,0,0,,,0,0,97.15,97.15,97.15,97.15
STU815177571,201901-10422-1,100,100,100,100,0,10,10,8,10,8,10,10,10,6,6,6,6,15,15,15,15,15,15,15,15,15,15,14,7,9,5,6,4,8.25,7,0,6,3,4,53.37837838,100,100,100,100,90,85,85,90,70,90,10,10,10,10,10,10,0,10,10,10,0,10,85,75,75,70,100,90,50,100,82,92,28,66,39,,,,80,80,80,80,83.33,83.33,83.33,83.33,99.39,99.39,99.39,99.39,61.81,61.81,61.81,61.81,91,91,91,91,83.33,83.33,83.33,83.33,61,61,61,61,95,95,95,95,100,100,100,100,70.74,70.74,70.74,70.74,,,0,0,,,0,0,78.82,78.82,78.82,78.82
STU815201361,201901-10422-1,100,100,100,100,100,10,10,10,10,10,10,10,10,10,10,10,10,13,15,15,15,15,15,15,15,15,15,15,9,10,9,8,9,10,8,8,7,10,10,88.28828829,100,100,100,100,100,100,100,100,100,100,10,10,10,10,10,10,10,10,0,10,10,10,100,100,90,195,70,0,50,60,96,100,30,90,99,,,,100,100,100,100,100,100,100,100,98.79,98.79,98.79,98.79,91.21,91.21,91.21,91.21,100,100,100,100,91.67,91.67,91.67,91.67,97,97,97,97,35,35,35,35,73.33,73.33,73.33,73.33,95.62,95.62,95.62,95.62,,,0,0,,,0,0,93.69,93.69,93.69,93.69
STU815200608,201901-10422-1,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,12,14,12,11,13,15,13,15,6,10,7,8,7,9,4,7,6,10,7,72.97297297,85,100,100,100,85,0,90,75,0,0,10,10,10,10,10,10,0,10,10,0,10,10,55,0,0,0,100,90,,80,90,96,28,82,86,,,,40,40,40,40,0,0,0,0,76.36,76.36,76.36,76.36,78.02,78.02,78.02,78.02,63.5,63.5,63.5,63.5,83.33,83.33,83.33,83.33,11,11,11,11,95,95,95,95,80,80,53.33,53.33,88.02,88.02,88.02,88.02,,,0,0,,,0,0,57.7,57.7,56.9,56.9
STU815018747,201901-10422-1,100,100,100,100,100,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,10,11,8,10,8,10,9,95.4954955,100,100,100,100,100,100,100,100,100,100,10,10,10,10,10,10,10,10,10,10,10,10,100,100,100,180,100,100,50,100,100,98,30,94,97,,,,100,100,100,100,100,100,100,100,100,100,100,100,98.9,98.9,98.9,98.9,100,100,100,100,100,100,100,100,96,96,96,96,100,100,100,100,100,100,100,100,96.54,96.54,96.54,96.54,,,0,0,,,0,0,98.58,98.58,98.58,98.58
STU815067941,201901-10422-1,100,100,100,100,100,10,10,6,10,10,10,10,10,10,10,8,8,15,15,15,15,15,15,15,15,15,15,15,7,9,7,0,9,10,0,9,7,0,0,52.25225225,100,100,100,100,100,100,100,100,100,95,10,0,0,0,0,0,0,0,0,0,0,0,95,85,70,160,100,35,50,100,96,94,29,92,87,,,,100,100,100,100,93.33,93.33,93.33,93.33,100,100,100,100,63.74,63.74,63.74,63.74,99.5,99.5,99.5,99.5,8.33,8.33,8.33,8.33,82,82,82,82,67.5,67.5,67.5,67.5,100,100,100,100,91.71,91.71,91.71,91.71,,,0,0,,,0,0,81.84,81.84,81.84,81.84
STU815205414,201901-10422-1,100,100,100,100,0,8,10,10,10,6,6,4,0,0,0,0,0,14,15,15,15,14,12,14,11,14,14,15,8,0,0,0,0,0,0,0,0,0,0,7.207207207,70,100,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,100,0,50,100,88,82,18,70,5,,,,80,80,80,80,45,45,45,45,92.73,92.73,92.73,92.73,8.89,8.89,8.89,8.89,26.5,26.5,26.5,26.5,0,0,0,0,5,5,5,5,50,50,50,50,100,100,100,100,60.6,60.6,60.6,60.6,,,0,0,,,0,0,36.24,36.24,36.24,36.24
STU814914940,201901-10422-1,100,90,100,100,0,8,10,6,6,6,6,6,6,6,2,2,0,15,14,11,13,13,12,11,11,9,13,15,9,8,0,4,7,7.25,0,3,0,7,2,42.56756757,100,85,85,85,85,85,85,85,0,0,10,10,0,10,10,0,0,10,10,10,0,0,75,85,75,135,100,90,50,90,82,88,0,,0,,,,78,78,78,78,53.33,53.33,53.33,53.33,83.03,83.03,83.03,83.03,51.92,51.92,51.92,51.92,69.5,69.5,69.5,69.5,58.33,58.33,58.33,58.33,74,74,74,74,95,95,95,95,93.33,93.33,93.33,93.33,50.9,50.9,39.17,39.17,,,0,0,,,0,0,67.43,67.43,65.67,65.67
STU815188189,201901-10422-1,80,100,100,100,100,10,10,10,10,8,6,6,4,4,4,0,0,13,14,12,8,13,12,11,11,7,12,14,8,9,7,6,7,10,5,3,6,7,4,64.86486486,100,85,85,100,85,85,85,85,55,0,10,10,10,10,10,10,10,0,10,0,10,10,75,50,45,110,100,90,50,100,70,86,25,74,23,,,,96,96,96,96,60,60,60,60,76.97,76.97,76.97,76.97,71.43,71.43,71.43,71.43,76.5,76.5,76.5,76.5,83.33,83.33,83.33,83.33,56,56,56,56,95,95,95,95,100,100,100,100,64.06,64.06,64.06,64.06,,,0,0,,,0,0,72.16,72.16,72.16,72.16
STU815181940,201901-10422-1,100,90,100,87,100,8,10,8,10,6,10,10,0,6,8,4,10,13,14,12,13,11,13,12,13,10,13,12,10,10,6,6,8,10,7,10,8,7,7,80.18018018,100,100,85,100,95,70,85,100,70,0,10,10,10,10,10,10,10,10,10,10,10,10,85,70,40,90,100,90,50,100,84,84,26,88,55,,,,95.4,95.4,95.4,95.4,75,75,75,75,82.42,82.42,82.42,82.42,84.62,84.62,84.62,84.62,80.5,80.5,80.5,80.5,100,100,100,100,57,57,57,57,95,95,95,95,100,100,100,100,77.65,77.65,77.65,77.65,,,0,0,,,0,0,79.25,79.25,79.25,79.25
STU815208708,201901-10422-1,100,100,100,100,100,10,10,6,10,2,10,10,10,6,8,10,10,12,15,13,15,11,13,0,12,10,14,15,8,9,8,6,3,9.25,6,4,7,8,8,68.69369369,100,100,70,100,85,0,0,95,0,0,10,10,10,10,10,10,10,10,10,10,10,10,50,70,55,115,100,100,50,100,92,94,28,78,49,,,,100,100,100,100,85,85,85,85,78.79,78.79,78.79,78.79,76.1,76.1,76.1,76.1,55,55,55,55,100,100,100,100,58,58,58,58,100,100,100,100,100,100,100,100,78.57,78.57,78.57,78.57,,,0,0,,,0,0,74.43,74.43,74.43,74.43
STU815178098,201901-10422-1,100,100,100,100,100,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,15,15,14,15,15,15,13,15,9,6,7,6,7,9,3,8,7,8,7,69.36936937,100,100,85,100,100,85,100,100,85,100,10,10,10,10,10,10,10,10,10,10,10,10,100,50,60,120,100,90,,90,94,92,21,68,52,,,,100,100,100,100,100,100,100,100,98.18,98.18,98.18,98.18,74.73,74.73,74.73,74.73,95.5,95.5,95.5,95.5,100,100,100,100,66,66,66,66,95,95,95,95,90,90,60,60,75.35,75.35,75.35,75.35,,,0,0,,,0,0,85.66,85.66,84.76,84.76
STU815154051,201901-10422-1,90,100,100,100,0,10,10,6,10,0,10,10,10,8,8,8,8,15,13,14,15,15,15,14,8,13,14,15,10,7,5,5,0,7.25,0,8,7,9,6,57.88288288,100,100,85,100,95,100,100,100,85,100,10,10,10,10,10,10,0,10,10,10,10,10,90,70,70,90,0,90,50,40,84,86,22,64,28,,,,78,78,78,78,81.67,81.67,81.67,81.67,91.52,91.52,91.52,91.52,70.6,70.6,70.6,70.6,96.5,96.5,96.5,96.5,91.67,91.67,91.67,91.67,64,64,64,64,45,45,45,45,60,60,60,60,65.44,65.44,65.44,65.44,,,0,0,,,0,0,77.16,77.16,77.16,77.16
STU815194328,201901-10422-1,100,100,100,100,100,10,10,6,10,10,10,10,10,10,8,10,10,15,15,15,15,15,15,15,15,15,15,15,10,10,9,9,10,11,8,10,10,10,10,96.3963964,100,100,100,100,100,100,100,100,70,100,10,10,10,10,10,10,10,10,10,10,10,10,100,100,85,190,100,100,50,90,94,100,31,88,95,100,,,100,100,100,100,95,95,95,95,100,100,100,100,98.9,98.9,98.9,98.9,97,97,97,97,100,100,100,100,95,95,95,95,100,100,100,100,93.33,93.33,93.33,93.33,94.01,94.01,94.01,94.01,100,100,100,100,,,0,0,116.9,116.9,116.9,116.9
STU815211169,201901-10422-1,100,100,100,100,100,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,14,15,15,15,15,15,15,15,10,7,5,9,5,9,7,10,8,8,9,78.37837838,100,100,100,100,90,100,100,85,65,100,10,10,10,10,10,10,10,10,10,10,10,10,100,90,90,180,100,90,50,100,84,84,26,76,65,,,,100,100,100,100,100,100,100,100,99.39,99.39,99.39,99.39,84.62,84.62,84.62,84.62,94,94,94,94,100,100,100,100,92,92,92,92,95,95,95,95,100,100,100,100,77.19,77.19,77.19,77.19,,,0,0,,,0,0,92.14,92.14,92.14,92.14
STU815015821,201901-10422-1,100,100,100,100,100,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,15,15,10,12,13,15,15,9,7,8,4,8,10,4,9,6,7,7,71.17117117,100,100,100,100,100,100,100,100,85,100,10,10,10,10,10,10,10,10,10,10,10,10,85,75,50,145,100,100,50,50,84,86,25,70,31,,,,100,100,100,100,100,100,100,100,90.91,90.91,90.91,90.91,78.02,78.02,78.02,78.02,98.5,98.5,98.5,98.5,100,100,100,100,71,71,71,71,100,100,100,100,66.67,66.67,66.67,66.67,68.2,68.2,68.2,68.2,,,0,0,,,0,0,85.33,85.33,85.33,85.33
STU815211102,201901-10422-1,100,100,100,100,100,10,10,10,10,10,8,4,0,,0,0,0,15,15,15,15,15,15,15,15,15,15,15,10,10,9,9,9,11,7,10,8,9,9,90.99099099,100,100,100,100,100,100,100,100,100,100,10,10,10,10,10,10,0,10,10,10,10,10,100,100,100,190,100,90,50,100,92,90,31,96,100,,,,100,100,100,100,56.36,56.36,51.67,51.67,100,100,100,100,94.51,94.51,94.51,94.51,100,100,100,100,91.67,91.67,91.67,91.67,98,98,98,98,95,95,95,95,100,100,100,100,94.24,94.24,94.24,94.24,,,0,0,,,0,0,94.67,94.67,94.39,94.39
STU815195038,201901-10422-1,100,100,100,87,100,10,10,10,10,10,10,10,10,10,10,10,10,15,14,15,15,15,15,15,15,15,15,15,9,10,9,8,9,11,10,10,10,9,10,94.59459459,100,100,100,100,100,100,100,100,95,100,10,10,10,10,10,10,10,10,10,10,10,10,100,95,85,195,100,90,50,90,96,94,0,,0,100,,,97.4,97.4,97.4,97.4,100,100,100,100,99.39,99.39,99.39,99.39,96.7,96.7,96.7,96.7,99.5,99.5,99.5,99.5,100,100,100,100,95,95,95,95,95,95,95,95,93.33,93.33,93.33,93.33,56.89,56.89,43.78,43.78,100,100,100,100,,,0,0,111.55,111.55,109.59,109.59
STU815082920,201901-10422-1,100,100,100,100,100,10,10,8,10,10,10,10,10,10,10,10,10,14,12,15,15,15,15,10,15,15,15,15,8,8,5,8,5,6.25,5,5,8,8,10,68.69369369,100,100,100,100,100,100,100,100,100,100,,10,10,10,10,10,10,10,10,10,10,10,90,75,70,130,100,90,50,100,82,98,22,68,49,,,,100,100,100,100,98.33,98.33,98.33,98.33,94.55,94.55,94.55,94.55,72.8,72.8,72.8,72.8,100,100,100,100,100,100,91.67,91.67,73,73,73,73,95,95,95,95,100,100,100,100,73.5,73.5,73.5,73.5,,,0,0,,,0,0,87.39,87.39,86.64,86.64
