SIS User ID,Section,Getting Started Quiz (4700591),Introductions (4700603),Time Management (4700657),Grit and Growth Mindset (4700601),Professor Visit (4700630),Journal 1 (4700812),Journal 2 (4700818),Journal 3 (4700817),Journal 4 (4700816),Journal 5 (4700815),Journal 6 (4700814),Journal 7 (4700625),Journal 8 (4700626),Journal 9 (4700627),Journal 10 (4700622),Journal 11 (4700623),Journal 12 (4700624),Section 2 (4700631),Section 3 Lessons 1-2 (4700633),Section 3 Lesson 3-5 (4700632),Section 4 Lessons 1-2 (4700634),Section 4 Lessons 3-5 (4700635),Section 5 (4700636),Section 6 (4700637),Section 7 Lessons 1-3 (4700638),Section 7 Lessons 4-6 (4700639),Section 8 (4700640),Section 9 (4700641),Quiz 01 Java (4700595),Quiz 02 Data Types  (4700600),Quiz 03 Strings  (4700599),Quiz 04 Methods (4700587),Quiz 5 Strings and Library Classes (4700597),Quiz 06 Conditions and Operators (4700594),Quiz 07 Loops (4700596),Quiz 08 Objects (4700593),Quiz 09 Inheritance and Polymorphism (4700590),Quiz 10 Arrays (4700592),Quiz 11 Exceptions (4700598),Quiz Avg,Exercises 1 (4700606),Exercises 2 (4700609),Exercises 3 (4700610),Exercises 4 (4700611),Exercises 5 (4700612),Exercises 7 (4700614),Exercises 8 (4700615),Exercises 9 (4700616),Exercises 10 (4700607),Exercises 11 (4700608),Ticket 01 (4700644),Ticket 02 (4700645),Ticket 03 (4700646),Ticket 05 (4700648),Ticket 06 (4700649),Ticket 07 (4700650),Ticket 08 (4700651),Ticket 09 (4700652),Ticket 10 (4700653),Ticket 11 (4700654),Ticket 12 (4700655),Ticket 13 (4700656),Integration Project PSI 1 Inspection (4700620),Integration Project PSI 2 Inspection (4700621),Integration Project PSI 3 Inspection (4700920),Integration Project Final  (4700619),Team Communication (4700643),Team Collaboration (4700602),SPoI (4700642),Portfolio Update (4700629),Midterm Exam (4700628),Final Exam (4700618),Post-Test- Requires Respondus LockDown Browser (4700589),Final Cumulative Exam (4700617),Final Exam Code (4700588),1Z0-811 (4700605),Ticket 04 (4700647),Exercises 6 (4700613),Getting Started Current Score,Getting Started Unposted Current Score,Getting Started Final Score,Getting Started Unposted Final Score,Journals Current Score,Journals Unposted Current Score,Journals Final Score,Journals Unposted Final Score,iLearning Quizzes Current Score,iLearning Quizzes Unposted Current Score,iLearning Quizzes Final Score,iLearning Quizzes Unposted Final Score,Class Quizzes Current Score,Class Quizzes Unposted Current Score,Class Quizzes Final Score,Class Quizzes Unposted Final Score,Exercises Current Score,Exercises Unposted Current Score,Exercises Final Score,Exercises Unposted Final Score,Tickets Current Score,Tickets Unposted Current Score,Tickets Final Score,Tickets Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Engagement Current Score,Engagement Unposted Current Score,Engagement Final Score,Engagement Unposted Final Score,Wrap Up Current Score,Wrap Up Unposted Current Score,Wrap Up Final Score,Wrap Up Unposted Final Score,Exams Current Score,Exams Unposted Current Score,Exams Final Score,Exams Unposted Final Score,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Uncounted Current Score,Uncounted Unposted Current Score,Uncounted Final Score,Uncounted Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
STU815015059,201901-10422-1,100,100,100,100,100,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,15,14,15,15,15,15,15,15,10,9,9,7,7,11,7,10,8,10,9,87.38738739,100,100,100,100,100,100,100,100,100,100,10,10,10,10,10,10,10,10,10,10,10,10,100,100,90,195,100,90,50,90,90,90,25,90,75,,,,100,100,100,100,100,100,100,100,99.39,99.39,99.39,99.39,91.21,91.21,91.21,91.21,100,100,100,100,100,100,100,100,97,97,97,97,95,95,95,95,93.33,93.33,93.33,93.33,85.25,85.25,85.25,85.25,,,0,0,,,0,0,95.94,95.94,95.94,95.94
STU815038388,201901-10422-1,100,100,100,100,100,10,10,10,10,10,0,10,10,0,10,10,0,9,15,8,14,13,13,10,10,8,13,15,10,7,4,6,7,7,6,9,10,7,9,73.87387387,70,0,50,100,85,85,100,100,50,0,10,10,10,10,0,10,10,10,0,10,10,0,95,70,90,150,100,90,50,100,78,88,29,80,47,,,,100,100,100,100,75,75,75,75,77.58,77.58,77.58,77.58,79.12,79.12,79.12,79.12,64,64,64,64,75,75,75,75,81,81,81,81,95,95,95,95,100,100,100,100,74.19,74.19,74.19,74.19,,,0,0,,,0,0,77.28,77.28,77.28,77.28
STU815201506,201901-10422-1,80,100,100,100,0,10,10,8,10,10,10,10,10,10,10,10,10,0,14,15,14,15,15,15,0,15,15,15,0,10,7,8,10,0,4,9,7,10,10,67.56756757,100,100,100,100,100,0,100,100,100,100,10,10,0,10,10,10,10,10,0,0,0,0,100,85,80,180,0,0,,90,94,84,27,86,74,0,,,76,76,76,76,98.33,98.33,98.33,98.33,80.61,80.61,80.61,80.61,83.33,83.33,83.33,83.33,90,90,90,90,58.33,58.33,58.33,58.33,89,89,89,89,0,0,0,0,90,90,60,60,84.1,84.1,84.1,84.1,0,0,0,0,,,0,0,80.82,80.82,79.92,79.92
STU815175596,201901-10422-1,100,100,100,100,99,10,10,10,10,10,10,10,10,10,10,10,4,15,14,15,15,15,15,15,15,15,15,15,10,10,8,9,9,9,8,10,9,10,10,91.89189189,100,100,85,100,85,85,85,85,70,85,10,10,10,10,10,10,10,10,10,10,10,10,90,100,85,170,100,20,50,80,88,94,24,92,84,,,,99.8,99.8,99.8,99.8,95,95,95,95,99.39,99.39,99.39,99.39,94.51,94.51,94.51,94.51,88,88,88,88,100,100,100,100,89,89,89,89,60,60,60,60,86.67,86.67,86.67,86.67,88.02,88.02,88.02,88.02,,,0,0,,,0,0,90.74,90.74,90.74,90.74
STU815211837,201901-10422-1,100,100,100,100,100,8,10,10,10,10,10,10,10,10,8,10,10,15,15,15,13,14,15,11,14,15,15,13,9,10,10,7,8,10.75,5,10,8,8,9,85.36036036,100,85,85,100,100,100,100,100,100,95,10,10,10,10,10,10,10,10,10,10,10,10,65,90,100,175,100,90,50,100,94,92,29,90,98,,,,100,100,100,100,96.67,96.67,96.67,96.67,93.94,93.94,93.94,93.94,90.93,90.93,90.93,90.93,96.5,96.5,96.5,96.5,100,100,100,100,86,86,86,86,95,95,95,95,100,100,100,100,92.86,92.86,92.86,92.86,,,0,0,,,0,0,93.67,93.67,93.67,93.67
STU815210143,201901-10422-1,80,90,100,87,100,10,10,10,10,10,10,10,10,10,10,10,10,13,15,15,15,15,15,15,15,15,15,14,9,9,6,7,9,8,8,6,5,10,7,75.67567568,100,100,85,100,100,90,85,100,85,95,10,10,10,10,10,10,10,10,10,10,10,10,70,100,90,195,100,90,50,100,92,88,23,90,78,,,,91.4,91.4,91.4,91.4,100,100,100,100,98.18,98.18,98.18,98.18,80.22,80.22,80.22,80.22,94,94,94,94,100,100,100,100,91,91,91,91,95,95,95,95,100,100,100,100,85.48,85.48,85.48,85.48,,,0,0,,,0,0,92.25,92.25,92.25,92.25
STU815180094,201901-10422-1,100,100,100,100,100,10,10,10,10,10,8,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15,9,9,7,9,9,10,7,6,10,9,9,84.68468468,100,100,100,100,100,100,100,100,85,100,10,10,10,10,10,10,10,10,10,10,10,10,100,85,100,195,100,90,50,100,92,94,28,78,70,,,,100,100,100,100,98.33,98.33,98.33,98.33,100,100,100,100,89.01,89.01,89.01,89.01,98.5,98.5,98.5,98.5,100,100,100,100,96,96,96,96,95,95,95,95,100,100,100,100,83.41,83.41,83.41,83.41,,,0,0,,,0,0,95.12,95.12,95.12,95.12
STU815184199,201901-10422-1,100,80,100,100,100,10,10,10,10,6,10,10,6,6,6,8,6,15,15,15,15,15,15,14,12,15,14,15,10,10,8,8,8,11,5,6,7,10,6,80.18018018,100,100,100,100,100,0,85,100,55,85,10,10,10,10,10,10,10,10,10,10,10,10,100,0,100,185,100,90,50,90,88,90,28,90,93,,,,96,96,96,96,81.67,81.67,81.67,81.67,96.97,96.97,96.97,96.97,85.71,85.71,85.71,85.71,82.5,82.5,82.5,82.5,100,100,100,100,77,77,77,77,95,95,95,95,93.33,93.33,93.33,93.33,89.63,89.63,89.63,89.63,,,0,0,,,0,0,87.09,87.09,87.09,87.09
STU815214499,201901-10422-1,100,100,100,100,100,10,10,10,10,10,10,10,10,0,10,10,10,15,15,15,15,15,14,15,15,15,15,15,9,10,10,10,9,11,8,10,8,10,10,94.59459459,100,100,100,100,100,100,100,100,100,100,10,10,10,10,10,10,0,10,10,10,10,10,100,100,85,200,100,90,50,100,94,96,33,96,92,,,,100,100,100,100,91.67,91.67,91.67,91.67,99.39,99.39,99.39,99.39,97.8,97.8,97.8,97.8,100,100,100,100,91.67,91.67,91.67,91.67,97,97,97,97,95,95,95,95,100,100,100,100,94.7,94.7,94.7,94.7,,,0,0,,,0,0,96.9,96.9,96.9,96.9
STU815125887,201901-10422-1,100,100,100,87,100,8,10,10,10,10,10,10,10,10,10,10,10,13,13,14,15,15,15,15,15,15,15,15,10,8,10,5,10,9.25,3,3,8,7,7,72.2972973,100,100,100,85,90,70,85,85,55,85,10,10,10,10,10,0,10,10,10,10,0,0,75,70,55,120,100,90,50,90,88,86,24,66,41,,,,97.4,97.4,97.4,97.4,98.33,98.33,98.33,98.33,96.97,96.97,96.97,96.97,81.59,81.59,81.59,81.59,85.5,85.5,85.5,85.5,75,75,75,75,64,64,64,64,95,95,95,95,93.33,93.33,93.33,93.33,70.28,70.28,70.28,70.28,,,0,0,,,0,0,80.63,80.63,80.63,80.63
