SIS User ID,Section,Pre-Test (4519969),Getting Started Quiz (4519968),Introductions (4519974),Journal 1 (4519995),Journal 2 (4520000),Journal 3 (4520001),Journal 4 (4520002),Journal 5 (4520003),Journal 6 (4520004),Journal 7 (4520005),Journal 8 (4520006),Journal 9 (4520007),Journal 10 (4519996),Journal 11 (4519997),Journal 12 (4519998),Quiz 01 Java (4519959),Quiz 02 Variables (4519966),Quiz 03 Operators (4519962),Quiz 04 Methods (4519963),Quiz 5 Objects (4574823),Quiz 12 Collections (4578494),Quiz 06 Loops (4519971),Quiz 07 Arrays (4519961),Quiz 08 Number Systems and Strings  (4519973),"Quiz 09 Multidimensional Arrays, Generics, Lists (4519972)",Quiz 10 OOP (4519958),Quiz 11 Exceptions (4519970),Quiz Avg,Exercises 1 (4519975),Exercises 2 (4519980),Exercises 3 (4519981),Exercises 4 (4519982),Exercises 5 (4519983),Exercises 6 (4519984),Exercises 7 (4519985),Exercises 8 (4519986),Exercises 9 (4519987),Exercises 10 (4519976),Exercises 11 (4519977),Exercises 12 (4519978),Integration Project PSI 1 Inspection (4519992),Innovation Project PSI 1 Inspection (4519989),Integration Project PSI 2 Inspection (4519993),Innovation Project PSI 2 Inspection (4519990),Integration Project PSI 3 Inspection (4519994),Innovation Project Final (4519988),Integration Project Final  (4519991),Team Check In (4520010),Team Check Up (4520011),Team Review (4520012),Portfolio Update (4520008),SPoI (4520009),Post-Test (4519965),Final Exam  (4519964),Getting Started Current Score,Getting Started Unposted Current Score,Getting Started Final Score,Getting Started Unposted Final Score,Journals Current Score,Journals Unposted Current Score,Journals Final Score,Journals Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Exercises Current Score,Exercises Unposted Current Score,Exercises Final Score,Exercises Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Team Score Current Score,Team Score Unposted Current Score,Team Score Final Score,Team Score Unposted Final Score,Wrap Up Current Score,Wrap Up Unposted Current Score,Wrap Up Final Score,Wrap Up Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
STU815029061,201801-10422-1,0,8,50,6,8,4,10,6,8,2,6,6,6,6,6,8,4,7,3.75,10,5,6,8,8,10,8,8,69.71544715,100,100,100,100,100,100,85,100,100,70,0,0,91,100,38,85,126,85,165,50,0,100,90,50,25,38,63.04,63.04,63.04,63.04,61.67,61.67,61.67,61.67,76.47,76.47,76.47,76.47,79.58,79.58,79.58,79.58,72.63,72.63,72.63,72.63,60,60,60,60,93.33,93.33,93.33,93.33,47.01,47.01,47.01,47.01,72.02,72.02,72.02,72.02
STU815186392,201801-10422-1,34,8,50,0,6,8,6,8,8,10,8,0,0,0,0,10,9,6,7,6,10,0,0,7,0,0,0,44.71544715,70,100,100,100,100,100,100,100,0,0,0,0,114,100,0,0,0,0,0,50,0,0,0,,,,100,100,100,100,45,45,45,45,53.4,53.4,53.4,53.4,64.17,64.17,64.17,64.17,22.53,22.53,22.53,22.53,20,20,20,20,0,0,0,0,,,0,0,48.88,48.88,44.97,44.97
STU815008760,201801-10422-1,34,5.8,50,10,10,8,8,10,10,10,10,8,10,10,0,9,8,9,8,11,6,6,9,0,8,7,0,65.85365854,100,100,100,100,100,100,100,100,100,100,100,100,150,100,139,100,150,100,195,50,100,100,100,50,27,97,97.61,97.61,97.61,97.61,86.67,86.67,86.67,86.67,78.64,78.64,78.64,78.64,100,100,100,100,98.32,98.32,98.32,98.32,100,100,100,100,100,100,100,100,92.54,92.54,92.54,92.54,92.99,92.99,92.99,92.99
STU814846821,201801-10422-1,34,8,50,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6.9,6,11,6,7,7,9,0,7,8,71.46341463,100,100,100,100,100,100,100,100,100,100,100,100,121,100,144,100,119,100,170,50,100,100,100,50,26,34,100,100,100,100,100,100,100,100,80.29,80.29,80.29,80.29,100,100,100,100,89.89,89.89,89.89,89.89,100,100,100,100,100,100,100,100,44.78,44.78,44.78,44.78,89.62,89.62,89.62,89.62
STU815108508,201801-10422-1,34,8,50,10,10,10,10,10,10,10,10,10,10,10,10,9,10,11,5.75,11,6,7,10,8,10,8,8,84.3495935,100,100,100,100,100,100,100,100,100,100,100,100,150,100,150,100,150,100,195,50,100,100,100,50,26,47,100,100,100,100,100,100,100,100,90.2,90.2,90.2,90.2,100,100,100,100,99.47,99.47,99.47,99.47,100,100,100,100,100,100,100,100,54.48,54.48,54.48,54.48,94.29,94.29,94.29,94.29
STU815152571,201801-10422-1,34,8,50,10,10,10,10,10,10,10,10,8,10,8,10,9,10,10,8,11,7,6,10,6,8,7,7,80.48780488,100,100,100,100,100,100,100,100,100,100,100,85,138,100,127,0,83,0,165,50,100,100,100,50,27,67,100,100,100,100,96.67,96.67,96.67,96.67,84.47,84.47,84.47,84.47,98.75,98.75,98.75,98.75,64.53,64.53,64.53,64.53,100,100,100,100,100,100,100,100,70.15,70.15,70.15,70.15,86.58,86.58,86.58,86.58
STU815149262,201801-10422-1,34,8,43,4,6,8,6,6,6,4,6,6,6,6,6,0,9,6,4.5,0,4,3,4,6,2,3,8,40.24390244,100,100,100,100,100,85,100,100,100,100,100,100,127,100,122,85,101,85,125,0,0,0,80,50,22,34,92.39,92.39,92.39,92.39,58.33,58.33,58.33,58.33,48.53,48.53,48.53,48.53,98.75,98.75,98.75,98.75,78.42,78.42,78.42,78.42,0,0,0,0,86.67,86.67,86.67,86.67,41.79,41.79,41.79,41.79,72.42,72.42,72.42,72.42
STU815172572,201801-10422-1,34,8,50,10,10,10,8,10,10,10,10,10,10,10,10,8,10,11,9,11,6,7,9,9,6,6,8,81.30081301,100,100,100,100,100,100,100,100,100,100,100,100,78,100,0,100,0,100,0,50,0,100,80,50,31,95,100,100,100,100,98.33,98.33,98.33,98.33,85.44,85.44,85.44,85.44,100,100,100,100,39.79,39.79,39.79,39.79,60,60,60,60,86.67,86.67,86.67,86.67,94.03,94.03,94.03,94.03,83.28,83.28,83.28,83.28
STU815153839,201801-10422-1,34,8,50,8,6,6,6,6,6,10,10,6,6,7,6,9,8,8.5,6.25,7,8,6,9,9,10,6,9,77.84552846,100,100,100,100,100,100,100,100,100,100,100,100,144,100,139,100,144,90,175,50,100,100,100,50,24,82,100,100,100,100,69.17,69.17,69.17,69.17,81.86,81.86,81.86,81.86,100,100,100,100,93.89,93.89,93.89,93.89,100,100,100,100,100,100,100,100,79.1,79.1,79.1,79.1,89.47,89.47,89.47,89.47
STU815174820,201801-10422-1,34,6,50,10,10,8,10,10,10,10,10,10,10,10,10,9,9,10,9,11,8,6,8,8,8,5,8,80.48780488,100,100,100,100,100,100,100,100,100,100,100,100,150,100,150,100,150,85,185,50,0,100,100,50,32,89,97.83,97.83,97.83,97.83,98.33,98.33,98.33,98.33,85.44,85.44,85.44,85.44,100,100,100,100,96.84,96.84,96.84,96.84,60,60,60,60,100,100,100,100,90.3,90.3,90.3,90.3,94.6,94.6,94.6,94.6
STU815173626,201801-10422-1,34,8,50,4,10,10,10,10,10,10,8,10,10,10,10,8,9,7.9,9,11,10,5,10,9,7,8,8,82.84552846,100,100,100,100,100,100,100,100,100,100,100,100,132,100,133,100,150,100,195,50,100,100,100,50,31,94,100,100,100,100,93.33,93.33,93.33,93.33,87.28,87.28,87.28,87.28,100,100,100,100,95.79,95.79,95.79,95.79,100,100,100,100,100,100,100,100,93.28,93.28,93.28,93.28,95.21,95.21,95.21,95.21
STU815155815,201801-10422-1,34,7,50,10,10,8,8,10,10,10,10,10,10,10,8,9,8,8,9,7,9,6,8,7,7,7,9,76.42276423,100,100,100,100,100,100,100,100,100,100,100,100,150,100,150,100,144,100,150,50,100,100,80,50,24,49,98.91,98.91,98.91,98.91,95,95,95,95,79.41,79.41,79.41,79.41,100,100,100,100,94.11,94.11,94.11,94.11,100,100,100,100,86.67,86.67,86.67,86.67,54.48,54.48,54.48,54.48,90.11,90.11,90.11,90.11
STU815186195,201801-10422-1,34,8,50,10,10,10,10,10,10,10,10,8,8,8,8,8,10,7.9,7.75,10,8,8,8,9,9,8,6,81.01626016,100,100,100,100,100,100,100,100,100,100,100,100,125,100,105,100,50,0,135,50,100,0,100,50,24,36,100,100,100,100,93.33,93.33,93.33,93.33,84.22,84.22,84.22,84.22,100,100,100,100,64.74,64.74,64.74,64.74,60,60,60,60,100,100,100,100,44.78,44.78,44.78,44.78,83.71,83.71,83.71,83.71
STU815116881,201801-10422-1,34,8,50,10,10,10,10,0,8,0,0,0,0,0,0,9,7,8,8,4,7,5,3,6,6,5,5,59.3495935,100,100,100,100,100,100,100,100,100,100,100,100,125,85,103,85,88,85,85,50,100,100,100,50,23,25,100,100,100,100,40,40,40,40,64.71,64.71,64.71,64.71,100,100,100,100,69.05,69.05,69.05,69.05,100,100,100,100,100,100,100,100,35.82,35.82,35.82,35.82,73.82,73.82,73.82,73.82
STU815104701,201801-10422-1,34,7,50,10,2,10,6,8,8,0,8,0,0,0,0,9,0,7.9,5.5,0,0,3,0,7,7,0,0,32.03252033,85,100,100,0,100,70,0,0,0,0,0,0,144,0,77,0,0,0,0,50,0,0,0,0,,,98.91,98.91,98.91,98.91,43.33,43.33,43.33,43.33,38.63,38.63,38.63,38.63,37.92,37.92,37.92,37.92,23.26,23.26,23.26,23.26,20,20,20,20,0,0,0,0,,,0,0,36.43,36.43,33.51,33.51
STU814996767,201801-10422-1,34,8,50,10,2,4,10,8,6,8,8,0,0,0,0,8,10,9,7.75,4,2,4,9,8,9,6,9,69.71544715,100,100,100,100,100,100,100,100,100,100,100,100,138,100,144,85,138,85,190,50,100,100,100,50,25,83,100,100,100,100,46.67,46.67,46.67,46.67,78.19,78.19,78.19,78.19,100,100,100,100,92.63,92.63,92.63,92.63,100,100,100,100,100,100,100,100,80.6,80.6,80.6,80.6,85.68,85.68,85.68,85.68
STU815075333,201801-10422-1,34,7,50,10,0,6,6,10,10,10,8,10,6,0,0,7,9,0,5,1,6,6,4,7,5,7,0,46.34146341,85,0,0,0,100,0,0,0,0,0,100,100,14,100,0,100,0,75,0,0,0,100,0,0,22,16,98.91,98.91,98.91,98.91,63.33,63.33,63.33,63.33,55.88,55.88,55.88,55.88,32.08,32.08,32.08,32.08,30.42,30.42,30.42,30.42,40,40,40,40,0,0,0,0,28.36,28.36,28.36,28.36,41.8,41.8,41.8,41.8
